Label,ID,Level_Type,Found_in_ASCTB
parvocellular neurosecretory cell,CL:1001505,Cell,Not found
skeletal muscle fiber,CL:0008002,Cell,Not found
adenohypophysis,UBERON:0002196,Structure,Not found
zona reticularis of adrenal gland,UBERON:0002055,Structure,Not found
white adipocyte,CL:0000448,Cell,Not found
skeletal muscle tissue,UBERON:0001134,Structure,Not found
skin of body,UBERON:0002097,Structure,Found
Leydig cell,CL:0000178,Cell,Not found
Sertoli cell,CL:0000216,Cell,Not found
epididymis,UBERON:0001301,Structure,Not found
vas deferens,UBERON:0001000,Structure,Not found
seminal vesicle,UBERON:0000998,Structure,Not found
prostate gland,UBERON:0002367,Structure,Found
bulbo-urethral gland,UBERON:0002366,Structure,Not found
parasympathetic nerve,UBERON:0004293,Structure,Found
sympathetic nerve,UBERON:0034729,Structure,Found
smooth muscle tissue layer of ejaculatory duct,UBERON:0015717,Structure,Not found
pudendal nerve,UBERON:0011390,Structure,Found
corpus cavernosum penis,UBERON:0004713,Structure,Not found
deep artery of penis,UBERON:0008321,Structure,Found
corpus spongiosum of penis,UBERON:0011183,Structure,Not found
perineal artery,UBERON:0001358,Structure,Found
deep dorsal vein of penis,UBERON:0006656,Structure,Found
perineal vein,UBERON:0001362,Structure,Found
hypogastric nerve,UBERON:0005303,Structure,Found
epididymis smooth muscle,UBERON:0004835,Structure,Not found
muscular coat of vas deferens,UBERON:0004224,Structure,Not found
male urethra,UBERON:0001333,Structure,Not found
thoracic sympathetic nerve trunk,UBERON:0004863,Structure,Not found
internal urethral sphincter,UBERON:0004918,Structure,Not found
sacral nerve plexus,UBERON:0034986,Structure,Found
ischiocavernosus muscle,UBERON:0001339,Structure,Found
male bulbospongiosus muscle,UBERON:0011388,Structure,Not found
male urethral meatus,UBERON:0012241,Structure,Not found
